matrix,high_br_mispreds,nnz_speedup
Franz11,True,False
IG5-11,True,True
IG5-12,True,False
IG5-13,True,False
IG5-14,True,True
IG5-15,True,True
IG5-16,True,True
IG5-17,True,True
IG5-18,True,True
GL7d12,True,True
GL7d13,True,True
GL7d14,True,True
GL7d15,True,False
GL7d16,True,True
GL7d21,True,True
GL7d22,True,True
GL7d23,True,True
GL7d24,True,True
GL7d25,True,True
c8_mat11,True,True
c8_mat11_I,True,True
f855_mat9,True,False
f855_mat9_I,True,True
rkat7_mat5,False,True
ch6-6-b3,False,False
ch6-6-b4,True,True
ch7-6-b3,True,False
ch7-6-b4,True,False
ch7-6-b5,True,False
ch7-7-b2,False,True
ch7-7-b5,True,False
ch7-8-b2,True,False
ch7-8-b3,True,False
ch7-8-b4,True,False
ch7-8-b5,True,False
ch7-9-b2,True,False
ch7-9-b3,True,False
ch7-9-b4,True,False
ch7-9-b5,True,False
ch8-8-b2,True,False
ch8-8-b3,True,False
ch8-8-b4,True,False
ch8-8-b5,True,False
cis-n4c6-b13,True,False
cis-n4c6-b3,False,False
cis-n4c6-b4,True,False
D6-6,True,False
m133-b3,True,False
mk11-b2,False,True
mk11-b3,True,False
mk11-b4,True,False
mk11-b4b,True,False
mk12-b2,True,False
mk12-b3,True,False
mk12-b4,True,False
mk12-b5,True,False
mk13-b5,True,False
n2c6-b5,True,False
n2c6-b6,True,False
n2c6-b7,True,False
n3c6-b5,True,False
n3c6-b6,True,False
n3c6-b7,True,False
n3c6-b8,True,False
n3c6-b9,True,True
n4c5-b5,True,False
n4c5-b6,True,False
n4c5-b7,True,False
n4c6-b10,True,False
n4c6-b11,True,False
n4c6-b12,True,False
n4c6-b13,True,False
n4c6-b3,False,False
n4c6-b4,True,False
n4c6-b5,True,False
n4c6-b6,True,False
n4c6-b7,True,False
n4c6-b8,True,False
n4c6-b9,True,False
shar_te2-b1,True,False
shar_te2-b2,True,False
shar_te2-b3,True,False
case39,True,False
Trec11,False,True
Trec12,True,False
Trec13,True,True
Trec14,True,True
rel7,True,False
rel8,True,False
relat7b,True,False
relat7,True,False
relat8,True,False
abtaha2,True,False
abtaha1,True,False
Trefethen_2000,True,False
Trefethen_20000b,True,False
Trefethen_20000,True,False
case9,True,False
Freescale1,True,False
Maragal_8,True,True
sls,True,False
TSOPF_RS_b2383,True,True
TSOPF_FS_b300,True,True
TSOPF_FS_b162_c1,True,False
TSOPF_FS_b162_c3,True,False
TSOPF_FS_b162_c4,True,False
TSOPF_FS_b300_c1,True,True
TSOPF_FS_b300_c2,True,True
TSOPF_FS_b300_c3,True,True
TSOPF_FS_b39_c19,True,False
TSOPF_FS_b39_c30,True,False
TSOPF_FS_b39_c7,True,False
TSOPF_FS_b9_c1,False,False
TSOPF_FS_b9_c6,True,False
TSOPF_RS_b162_c1,True,False
TSOPF_RS_b162_c3,True,False
TSOPF_RS_b162_c4,True,False
TSOPF_RS_b2052_c1,True,True
TSOPF_RS_b2383_c1,True,True
TSOPF_RS_b300_c1,True,False
TSOPF_RS_b300_c2,True,True
TSOPF_RS_b300_c3,True,True
TSOPF_RS_b39_c19,True,False
TSOPF_RS_b39_c30,True,False
TSOPF_RS_b39_c7,True,False
TSOPF_RS_b678_c1,True,True
TSOPF_RS_b678_c2,True,True
TSOPF_RS_b9_c6,True,False
image_interp,True,False
mesh_deform,True,False
TS,True,False
thermomech_TC,True,False
thermomech_TK,True,False
thermomech_dM,True,False
thermomech_dK,True,False
shallow_water1,True,False
shallow_water2,True,False
tomographic1,True,True
atmosmodd,True,False
atmosmodj,True,False
atmosmodl,True,False
